"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","location_name","lon","lat"
"1","Welcome to the official Twitter account of U.S. Embassy Kabul.",4849,112018,35,459,"http://t.co/GVEbar4sr2","U.S. Embassy Kabul",2009-02-23 11:02:09,FALSE,TRUE,"USEmbassyKabul","Kabul, Afghanistan","en","21645304",1008,FALSE,"http://pbs.twimg.com/profile_images/378800000141672960/83e2cd1f8196ea753e7dcf6bf4c6969e_normal.png","U.S. Embassy Kabul",69.1910877,34.5332114
"2","Actualizaciones de la Embajada de los Estados Unidos en Argentina",10685,22413,1196,846,"http://t.co/uUXRQRU3tf","EmbajadaEEUUArg     ",2010-03-01 14:18:38,FALSE,TRUE,"EmbajadaEEUUarg","Buenos Aires, Argentina","es","118704347",340,FALSE,"http://pbs.twimg.com/profile_images/562977100668231680/Vl9S41ME_normal.jpeg","Buenos Aires, Argentina",-58.3815591,-34.6036844
"3","Official Twitter of U.S. Embassy Yerevan, Armenia",6436,35669,25,342,"http://t.co/yhoeWUGysl","US Embassy, Armenia",2010-03-02 12:45:02,FALSE,TRUE,"usembarmenia","See us on Facebook!","en","119023613",233,FALSE,"http://pbs.twimg.com/profile_images/1294742476/logo_normal.jpg","US Embassy, Armenia",-77.0498585,38.9128281
"4","The official #Twitter handle of the U.S. Embassy Canberra, Australia. Follow Ambassador Berry's Tweets using the #AmbBerry hashtag.",7671,14039,1154,1363,"http://t.co/tEF9VoEx9v","US Embassy Canberra",2009-08-20 04:56:59,FALSE,TRUE,"USAembassyinOZ","Canberra, Australia","en","67232748",519,FALSE,"http://pbs.twimg.com/profile_images/634259202827948032/hkpF5oAU_normal.png","US Embassy Canberra",149.1163282,-35.3063954
"5","Welcome to the official Twitter page of the U.S. Embassy in Vienna, Austria. Find information on U.S. foreign policy, human rights, democracy and environment.",11011,7527,40,684,"http://t.co/tl9bNFlsmZ","U.S. Embassy Vienna",2009-10-29 09:31:02,FALSE,TRUE,"usembvienna","1090 Vienna, Austria","en","86029229",323,FALSE,"http://pbs.twimg.com/profile_images/1016947755/U.S.EmbassyViennalogo_normal.jpg","U.S. Embassy Vienna",-77.2888366,38.8536692
"6","Official Twitter account of U.S. Embassy  to Barbados, the Eastern Caribbean, & the OECS  supporting citizen safety, good governance, & vibrant civil society.",4175,2796,74,332,"http://t.co/EfCxuPqGgX","USEmbassy Bridgetown",2010-07-07 15:40:38,FALSE,TRUE,"USEmbassyBbdos","Bridgetown, Barbados","en","163910493",116,FALSE,"http://pbs.twimg.com/profile_images/472059330410188800/BDosrdKU_normal.jpeg","U.S. Embassy  Bridgetown",-59.5859599,13.0936017
"7","Official Twitter Account of the Embassy of the United States of America to the Kingdom of Belgium",32326,14898,12,1373,"http://t.co/LOZ2ddZCBI","US Embassy Brussels",2009-02-03 16:23:27,FALSE,TRUE,"usembbrussels","Regent 27, B-1000 Brussels","en","19981036",633,FALSE,"http://pbs.twimg.com/profile_images/476301295846846464/-X9AqEin_normal.jpeg","US Embassy Brussels",4.3517103,50.8503396
"8","Esta es la cuenta oficial de la Embajada de Estados Unidos en Bolivia en Twitter.",9328,7583,10,162,"http://t.co/Vv3akBncm0","Embajada EUA Bolivia",2010-07-19 14:06:14,FALSE,TRUE,"EmbEUAenBolivia","La Paz, Bolivia","en","168498034",196,FALSE,"http://pbs.twimg.com/profile_images/2298787317/pnv7cly0qf19l79zx2vn_normal.jpeg","La Paz, Bolivia",-68.1192936,-16.489689
"9","The U.S. Embassy in Bosnia and Herzegovina wants you to join the discussion on programs and policy. Tweets from Ambassador Cormack are signed -MEC.",3457,14672,1148,540,"http://t.co/nRYqb8ByOT","US Embassy Sarajevo",2011-07-05 07:40:18,FALSE,TRUE,"USEmbassySJJ","Sarajevo, BiH","en","329542325",178,FALSE,"http://pbs.twimg.com/profile_images/520139476366938113/aD0Ifmf7_normal.jpeg","US Embassy Sarajevo",18.4003724,43.8567152
"10","A Embaixada dos EUA em Brasília trabalha com o governo e a sociedade civil do Brasil para fortalecer os laços entre nossos países.",12474,38504,361,796,"http://t.co/j55X2zgUpL","Embaixada EUA Brasil",2009-03-15 11:21:10,FALSE,TRUE,"EmbaixadaEUA","Brasilia, Brasil","en","24511456",569,FALSE,"http://pbs.twimg.com/profile_images/450687502739730432/72pYyJaU_normal.png","Brasilia, Brasil",-47.8821658,-15.7942287
